"Issue Type","Summary","Description","Epic Name","Parent","Assignee","Priority","Story Points","Sprint","Status","Labels","Acceptance Criteria","Definition of Done","Notion Link","Evidence Link"
"Epic","Problem Discovery & Scope","شناخت مسئله، ذی‌نفعان، ارزش انسانی، دامنه MVP و محدودیت‌های اخلاقی.","Problem Discovery & Scope","","محمدامین پورمند","High","8","Sprint 0","Done","scope,stakeholder,ethics,status-done","Epic شامل حداقل ۵ task/story با owner، evidence و DoD باشد.","همه taskهای ضروری انجام یا با وضعیت Needs Completion صادقانه ثبت شوند.","https://app.notion.com/p/39fd955c965a815588c8e5c3ec67b505","project-management-final-package/"
"Story","تعریف مسئله تریاژ اورژانس","شرح مسئله ازدحام، فشار زمانی و خطر تأخیر در شناسایی بیمار بحرانی.","Problem Discovery & Scope","Problem Discovery & Scope","محمدامین پورمند","High","3","Sprint 0","Done","scope,problem,status-done","مسئله در یک متن رسمی و قابل دفاع ثبت شود.","docs مرتبط موجود و به Notion لینک شود.","https://app.notion.com/p/39fd955c965a815588c8e5c3ec67b505","docs/project-management-plan.md"
"Story","ثبت ذی‌نفعان و کاربران هدف","شناسایی پرستار تریاژ، تیم اورژانس، مدیریت بحران، استاد و کاربران پایلوت.","Problem Discovery & Scope","Problem Discovery & Scope","محمدرضا آرمان‌پور","High","2","Sprint 0","Done","stakeholder,status-done","حداقل ۵ گروه ذی‌نفع با نیازشان ثبت شود.","stakeholder register کامل باشد.","https://app.notion.com/p/39fd955c965a815588c8e5c3ec67b505","docs/stakeholder-register.md"
"Story","تعریف مرز اخلاقی decision-support","تعیین اینکه سیستم جایگزین پزشک/پرستار نیست.","Problem Discovery & Scope","Problem Discovery & Scope","محمدامین پورمند","Highest","3","Sprint 0","Done","ethics,safety,status-done","disclaimer در UI و docs آمده باشد.","در model-card و privacy ثبت شود.","https://app.notion.com/p/39fd955c965a815588c8e5c3ec67b505","docs/model-card.md; frontend/privacy.html"
"Story","تعریف محدوده MVP","مشخص کردن داخل/خارج از محدوده برای جلوگیری از scope creep.","Problem Discovery & Scope","Problem Discovery & Scope","محمدامین پورمند","High","2","Sprint 0","Done","mvp,scope,status-done","دامنه محصول و خارج از محدوده روشن باشد.","overview و roadmap تکمیل شود.","https://app.notion.com/p/39fd955c965a815588c8e5c3ec67b505","docs/roadmap.md"
"Story","تعریف ارزش انسانی، اجتماعی و ملی","ثبت ارزش پروژه و پیامد مورد انتظار برای گزارش و پوستر.","Problem Discovery & Scope","Problem Discovery & Scope","محمدرضا آرمان‌پور","Medium","2","Sprint 0","Done","value,social,status-done","ارزش انسانی/اجتماعی/ملی جداگانه ثبت شود.","در report/poster قابل استفاده باشد.","https://app.notion.com/p/39fd955c965a815588c8e5c3ec67b505","poster-final-assets-fa.md"
"Epic","Data & Model Logic","طراحی منطق مدل، داده‌های triage-time، کنترل leakage و متریک‌های v7.","Data & Model Logic","","محمدامین پورمند","High","8","Sprint 1","Done","ml,data,metrics,status-done","Epic شامل حداقل ۵ task/story با owner، evidence و DoD باشد.","همه taskهای ضروری انجام یا با وضعیت Needs Completion صادقانه ثبت شوند.","https://app.notion.com/p/39fd955c965a815588c8e5c3ec67b505","project-management-final-package/"
"Story","انتخاب featureهای زمان تریاژ","استفاده از سن، شکایت، علائم حیاتی و سابقه قابل پرسش.","Data & Model Logic","Data & Model Logic","محمدامین پورمند","Highest","5","Sprint 1","Done","triage-time,data,status-done","هیچ داده post-triage در ورودی نهایی نباشد.","Model Card شامل included/excluded sources باشد.","https://app.notion.com/p/39fd955c965a815588c8e5c3ec67b505","docs/model-card.md"
"Story","کنترل data leakage","حذف labs، meds، imaging، disposition و انتخاب threshold روی validation.","Data & Model Logic","Data & Model Logic","محمدامین پورمند","Highest","5","Sprint 1","Done","leakage,validation,status-done","leakage control در docs ثبت شود.","metrics و train script قابل اشاره باشند.","https://app.notion.com/p/39fd955c965a815588c8e5c3ec67b505","ml/train.py; reports/model/metrics_v7.json"
"Story","آموزش و ارزیابی مدل v7","ثبت AUC، Recall، Precision، FPR و threshold نهایی.","Data & Model Logic","Data & Model Logic","محمدامین پورمند","Highest","8","Sprint 3","Done","v7,metrics,status-done","AUC>=0.90 و Recall>=0.92 در test گزارش شود.","metrics_v7.json و model-card به‌روز باشد.","https://app.notion.com/p/39fd955c965a815588c8e5c3ec67b505","reports/model/metrics_v7.json"
"Story","پشتیبانی از ورودی ناقص","استفاده از missingness و data completeness.","Data & Model Logic","Data & Model Logic","محمدامین پورمند","High","3","Sprint 2","Done","sparse-input,status-done","سناریوی sparse خروجی بدهد و missing fields نشان دهد.","UI و API خروجی کامل برگردانند.","https://app.notion.com/p/39fd955c965a815588c8e5c3ec67b505","frontend/app.js; ml/inference.py"
"Story","ثبت نمودارهای مدل","Confusion Matrix، ROC، PR و SHAP/Feature Importance.","Data & Model Logic","Data & Model Logic","محمدامین پورمند","Medium","3","Sprint 3","Done","charts,poster,status-done","نمودارها در reports/poster-assets موجود باشند.","assets با نام واضح ذخیره شوند.","https://app.notion.com/p/39fd955c965a815588c8e5c3ec67b505","poster-assets/; reports/model/"
"Epic","Backend / Evaluation Logic","FastAPI، endpointها، منطق prediction، feedback export و CORS/deploy.","Backend / Evaluation Logic","","محمدامین پورمند","High","8","Sprint 2","Done","backend,api,fastapi,status-done","Epic شامل حداقل ۵ task/story با owner، evidence و DoD باشد.","همه taskهای ضروری انجام یا با وضعیت Needs Completion صادقانه ثبت شوند.","https://app.notion.com/p/39fd955c965a81ebb185d1b711687684","project-management-final-package/"
"Story","ساخت endpoint /health","Endpoint سلامت سرویس برای local/deploy.","Backend / Evaluation Logic","Backend / Evaluation Logic","محمدامین پورمند","High","2","Sprint 2","Done","api,health,status-done","GET /health status ok بدهد.","در docs/api-documentation.md ثبت شود.","https://app.notion.com/p/39fd955c965a81ebb185d1b711687684","backend/main.py"
"Story","ساخت endpoint /model-info","نمایش نسخه مدل، متریک‌ها و operating points.","Backend / Evaluation Logic","Backend / Evaluation Logic","محمدامین پورمند","High","2","Sprint 2","Done","api,model-info,status-done","اطلاعات v7 و decision_support_only برگردد.","endpoint در backend موجود باشد.","https://app.notion.com/p/39fd955c965a81ebb185d1b711687684","backend/main.py"
"Story","ساخت endpoint /predict","دریافت PatientInput و خروجی PredictionOutput.","Backend / Evaluation Logic","Backend / Evaluation Logic","محمدامین پورمند","Highest","5","Sprint 2","Done","api,predict,status-done","با ورودی کامل و ناقص خروجی بدهد.","schema و inference هماهنگ باشند.","https://app.notion.com/p/39fd955c965a81ebb185d1b711687684","backend/main.py; backend/schemas.py"
"Story","تنظیم CORS و config deploy","آماده‌سازی allow origins و فایل‌های Render/Railway.","Backend / Evaluation Logic","Backend / Evaluation Logic","محمدامین پورمند","Medium","2","Sprint 6","Done","cors,deploy,status-done","CORS برای تست قابل تنظیم باشد.","DEPLOYMENT.md توضیح دهد origin واقعی جایگزین شود.","https://app.notion.com/p/39fd955c965a81ebb185d1b711687684","DEPLOYMENT.md; render.yaml; railway.toml"
"Story","نگه داشتن مسیر feedback export","ثبت feedback واقعی در CSV برای پایلوت.","Backend / Evaluation Logic","Backend / Evaluation Logic","محمدرضا آرمان‌پور","Medium","3","Sprint 5","Done","feedback,api,status-done","POST /feedback و GET /feedback/export تعریف شوند.","برای پایلوت واقعی قابل استفاده باشد.","https://app.notion.com/p/39fd955c965a81ebb185d1b711687684","backend/main.py"
"Epic","Frontend & UX","رابط فارسی، mobile-first، سناریوها، نتیجه قابل فهم و نصب PWA.","Frontend & UX","","محدثه حاتمی کیا","High","8","Sprint 2","Done","frontend,ux,pwa,status-done","Epic شامل حداقل ۵ task/story با owner، evidence و DoD باشد.","همه taskهای ضروری انجام یا با وضعیت Needs Completion صادقانه ثبت شوند.","https://app.notion.com/p/39fd955c965a81ebb185d1b711687684","project-management-final-package/"
"Story","طراحی فارسی و RTL","UI کامل به فارسی و راست‌به‌چپ باشد.","Frontend & UX","Frontend & UX","محدثه حاتمی کیا","High","3","Sprint 2","Done","rtl,fa,status-done","html lang=fa و dir=rtl داشته باشد.","متن‌ها فارسی و ساده باشند.","https://app.notion.com/p/39fd955c965a81ebb185d1b711687684","frontend/index.html"
"Story","اصلاح نام محصول به امداد یار","جایگزینی عنوان‌های فنی/قدیمی با نام محصول.","Frontend & UX","Frontend & UX","محدثه حاتمی کیا","High","2","Sprint 6","Done","branding,status-done","عنوان UI امداد یار باشد.","manifest و title هماهنگ شود.","https://app.notion.com/p/39fd955c965a81ebb185d1b711687684","frontend/index.html; frontend/manifest.webmanifest"
"Story","جابجایی نمونه‌های آماده تست","نمونه‌ها پایین فرم قرار بگیرند تا با ورودی کاربر اشتباه نشوند.","Frontend & UX","Frontend & UX","محدثه حاتمی کیا","Medium","2","Sprint 6","Done","ux,scenario,status-done","سناریوها در بخش اختیاری باشند.","کاربر قبل از فرم اصلی با آنها روبه‌رو نشود.","https://app.notion.com/p/39fd955c965a81ebb185d1b711687684","frontend/index.html"
"Story","ساخت نتیجه قابل فهم","جایگزینی اصطلاحات سخت با پیام‌های عملی.","Frontend & UX","Frontend & UX","محدثه حاتمی کیا","High","3","Sprint 6","Done","copywriting,result,status-done","خروجی شامل وضعیت، هشدار و اقدام باشد.","ESI تنها متن اصلی نباشد.","https://app.notion.com/p/39fd955c965a81ebb185d1b711687684","frontend/app.js"
"Story","آماده‌سازی نصب PWA","دکمه/راهنمای نصب، service worker و manifest.","Frontend & UX","Frontend & UX","محدثه حاتمی کیا","High","3","Sprint 4","Done","pwa,mobile,status-done","کاربر راهنمای Android/iPhone ببیند.","PWA assets موجود باشد.","https://app.notion.com/p/39fd955c965a81ebb185d1b711687684","frontend/sw.js; frontend/manifest.webmanifest"
"Epic","Explainability & Safety","هشدارهای مهم، اقدام بعدی، disclaimer، data completeness و ایمنی استفاده.","Explainability & Safety","","محمدامین پورمند","High","8","Sprint 3","Done","safety,explainability,ethics,status-done","Epic شامل حداقل ۵ task/story با owner، evidence و DoD باشد.","همه taskهای ضروری انجام یا با وضعیت Needs Completion صادقانه ثبت شوند.","https://app.notion.com/p/39fd955c965a81138eb8c41a1a8b734f","project-management-final-package/"
"Story","نمایش هشدارهای مهم","تبدیل safety flags به زبان قابل فهم فارسی.","Explainability & Safety","Explainability & Safety","محمدامین پورمند","Highest","3","Sprint 3","Done","safety,flags,status-done","هشدارها در بخش جدا نمایش داده شوند.","اصطلاحات مبهم حذف شود.","https://app.notion.com/p/39fd955c965a81138eb8c41a1a8b734f","frontend/index.html; frontend/app.js"
"Story","نمایش اقدام بعدی","پیشنهاد next action برای مسیر بعدی کاربر.","Explainability & Safety","Explainability & Safety","محدثه حاتمی کیا","High","3","Sprint 3","Done","next-action,workflow,status-done","حداقل یک اقدام بعدی پس از ارزیابی نمایش داده شود.","API/browser model خروجی action بدهد.","https://app.notion.com/p/39fd955c965a81138eb8c41a1a8b734f","frontend/app.js; ml/inference.py"
"Story","نمایش کامل بودن داده","درصد data completeness و missing fields.","Explainability & Safety","Explainability & Safety","محمدامین پورمند","High","2","Sprint 3","Done","data-quality,status-done","با ورودی ناقص درصد و فیلدهای پیشنهادی نشان داده شود.","نتیجه بیش از حد قطعی به نظر نرسد.","https://app.notion.com/p/39fd955c965a81138eb8c41a1a8b734f","frontend/app.js"
"Story","تکرار disclaimer اخلاقی","توضیح ثابت درباره عدم جایگزینی متخصص.","Explainability & Safety","Explainability & Safety","محدثه حاتمی کیا","Highest","2","Sprint 2","Done","ethics,disclaimer,status-done","در UI و privacy موجود باشد.","متن کوتاه و واضح باشد.","https://app.notion.com/p/39fd955c965a81138eb8c41a1a8b734f","frontend/index.html; frontend/privacy.html"
"Story","ثبت محدودیت‌های مدل","محدودیت داده، نیاز به validation و fairness.","Explainability & Safety","Explainability & Safety","محمدامین پورمند","High","3","Sprint 3","Done","model-card,limitations,status-done","محدودیت‌ها در model card آمده باشد.","در ارائه ادعای درمانی نشود.","https://app.notion.com/p/39fd955c965a81138eb8c41a1a8b734f","docs/model-card.md"
"Epic","Feedback & Validation","برنامه جمع‌آوری بازخورد، QA، تست پایلوت، ثبت نظر ذی‌نفعان و اصلاح محصول.","Feedback & Validation","","محمدرضا آرمان‌پور","High","8","Final Sprint","In Progress","feedback,validation,qa,status-in-progress","Epic شامل حداقل ۵ task/story با owner، evidence و DoD باشد.","همه taskهای ضروری انجام یا با وضعیت Needs Completion صادقانه ثبت شوند.","https://app.notion.com/p/4df3d90b10ea41ffb5ade21765e341ae","project-management-final-package/"
"Story","طراحی فرم جمع‌آوری بازخورد","پرسش‌های کوتاه برای UI، خروجی و disclaimer.","Feedback & Validation","Feedback & Validation","محمدرضا آرمان‌پور","High","2","Final Sprint","Done","feedback,form,status-done","فرم با ۵ سؤال آماده و ارسال شود.","حداقل ۵ پاسخ واقعی ثبت شود.","https://app.notion.com/p/4df3d90b10ea41ffb5ade21765e341ae","project-management-final-package/stakeholder-feedback-form.md"
"Story","تأیید ۹ بازخورد پرستار تریاژ","ثبت بازخوردهای تأییدشده و اتصال هر مورد به اقدام محصولی.","Feedback & Validation","Feedback & Validation","محمدرضا آرمان‌پور","Highest","5","Final Sprint","Done","feedback,nurse,status-done","۹ مورد با وضعیت confirmed و اقدام متناظر ثبت شود.","فایل CSV و گزارش نهایی موجود و هویت‌ها خصوصی باشد.","https://app.notion.com/p/4df3d90b10ea41ffb5ade21765e341ae","data/feedback/triage-nurse-feedback-confirmed.csv; docs/triage-nurse-feedback-confirmation.md"
"Story","ثبت feedback واقعی در Notion","وارد کردن پاسخ‌های واقعی در database بازخورد.","Feedback & Validation","Feedback & Validation","محمدرضا آرمان‌پور","High","3","Final Sprint","Done","notion,feedback,status-done","هر feedback score، comment و action taken داشته باشد.","لینک evidence و owner مشخص باشد.","https://app.notion.com/p/4df3d90b10ea41ffb5ade21765e341ae","project-management-final-package/notion-stakeholder-feedback.csv"
"Story","اجرای QA سناریوهای اصلی","فرم خالی، پرخطر، متوسط، sparse، موبایل، PWA، QR.","Feedback & Validation","Feedback & Validation","محدثه حاتمی کیا","High","5","Final Sprint","Done","qa,test,status-done","همه سناریوها status و تاریخ داشته باشند.","screenshot یا توضیح نتیجه ثبت شود.","https://app.notion.com/p/4df3d90b10ea41ffb5ade21765e341ae","project-management-final-package/notion-qa-test-log.csv"
"Story","تحلیل تغییرات بعد از feedback","ثبت action taken برای هر feedback واقعی.","Feedback & Validation","Feedback & Validation","محمدرضا آرمان‌پور","Medium","3","Final Sprint","Done","feedback,iteration,status-done","حداقل ۲ تغییر یا backlog item از feedback استخراج شود.","در change log یا sprint review ثبت شود.","https://app.notion.com/p/4df3d90b10ea41ffb5ade21765e341ae","docs/knowledge-base/stakeholder-feedback-log.md"
"Epic","Project Management & Agile","Backlog، Sprint، Burndown، KPI، risk، time tracking و role assignment.","Project Management & Agile","","محمدرضا آرمان‌پور","High","8","Sprint 3","In Progress","agile,kpi,risk,status-in-progress","Epic شامل حداقل ۵ task/story با owner، evidence و DoD باشد.","همه taskهای ضروری انجام یا با وضعیت Needs Completion صادقانه ثبت شوند.","https://app.notion.com/p/39fd955c965a81d49485fc2f92996cf5","project-management-final-package/"
"Story","ساخت Jira Scrum Project","ایجاد project واقعی و board برای امداد یار.","Project Management & Agile","Project Management & Agile","محمدرضا آرمان‌پور","Highest","3","Final Sprint","Done","jira,agile,status-done","Project name و workflow مطابق راهنما باشد.","screenshot board گرفته شود.","https://app.notion.com/p/39fd955c965a81d49485fc2f92996cf5","project-management-final-package/jira-board-setup.md"
"Story","Import کردن Jira issues","وارد کردن jira-issues-import.csv و map کردن fieldها.","Project Management & Agile","Project Management & Agile","محمدرضا آرمان‌پور","Highest","5","Final Sprint","Done","jira,import,status-done","حداقل ۹ epic و ۴۵ task/story وارد شوند.","assignee و sprint قابل مشاهده باشد.","https://app.notion.com/p/39fd955c965a81d49485fc2f92996cf5","project-management-final-package/jira-issues-import.csv"
"Story","تنظیم Sprintها و Burndown","ساخت sprintهای پروژه و نمایش burndown.","Project Management & Agile","Project Management & Agile","محمدرضا آرمان‌پور","High","3","Final Sprint","In Review","sprint,burndown,status-in-review","Sprintها فعال/closed و نمودار قابل screenshot باشد.","time/story points ثبت شود.","https://app.notion.com/p/39fd955c965a81d49485fc2f92996cf5","docs/artifacts/burndown.svg"
"Story","ثبت Time Tracking","ثبت Original Estimate و Time Spent برای اعضا.","Project Management & Agile","Project Management & Agile","محمدرضا آرمان‌پور","High","3","Final Sprint","In Progress","time-tracking,team,status-in-progress","برای هر عضو چند issue با time spent وجود داشته باشد.","گزارش نقش تیمی قابل دفاع باشد.","https://app.notion.com/p/39fd955c965a81d49485fc2f92996cf5","docs/artifacts/time-tracking-log.csv"
"Story","لینک دادن Jira به GitHub commits","اضافه کردن commit/file evidence در description یا issue links.","Project Management & Agile","Project Management & Agile","محمدامین پورمند","Medium","2","Final Sprint","Done","github,jira,evidence,status-done","هر epic حداقل یک evidence link داشته باشد.","commit hash یا file path در issue visible باشد.","https://app.notion.com/p/39fd955c965a81d49485fc2f92996cf5","git log --oneline"
"Epic","Documentation & Knowledge Base","Notion/Knowledge Base، decision log، AI usage، lessons و deliverables.","Documentation & Knowledge Base","","محدثه حاتمی کیا","High","8","Sprint 3","Done","docs,knowledge,ai-usage,status-done","Epic شامل حداقل ۵ task/story با owner، evidence و DoD باشد.","همه taskهای ضروری انجام یا با وضعیت Needs Completion صادقانه ثبت شوند.","https://app.notion.com/p/38fd955c965a80c18b7ac3a8fd176cc3","project-management-final-package/"
"Story","ساخت Notion Home","ایجاد صفحه اصلی دانشنامه پروژه.","Documentation & Knowledge Base","Documentation & Knowledge Base","محدثه حاتمی کیا","Highest","3","Final Sprint","Done","notion,home,status-done","صفحه شامل معرفی، لینک‌ها و وضعیت پروژه باشد.","لینک Notion در README/Jira ثبت شود.","https://app.notion.com/p/38fd955c965a80c18b7ac3a8fd176cc3","project-management-final-package/notion-home.md"
"Story","Import کردن decision log","ساخت database تصمیم‌ها در Notion.","Documentation & Knowledge Base","Documentation & Knowledge Base","محدثه حاتمی کیا","High","3","Final Sprint","Done","notion,decision-log,status-done","ستون‌ها و relationها درست map شوند.","حداقل تصمیم‌های کلیدی وارد شوند.","https://app.notion.com/p/38fd955c965a80c18b7ac3a8fd176cc3","project-management-final-package/notion-decision-log.csv"
"Story","Import کردن change log","ساخت database تغییرات از git history.","Documentation & Knowledge Base","Documentation & Knowledge Base","محدثه حاتمی کیا","High","3","Final Sprint","Done","notion,change-log,status-done","هر تغییر دلیل، اثر و evidence داشته باشد.","به Jira issue لینک شود.","https://app.notion.com/p/38fd955c965a80c18b7ac3a8fd176cc3","project-management-final-package/notion-change-log.csv"
"Story","ثبت حاکمیت ابزارهای کمکی و کنترل انسانی","ثبت دامنه استفاده از ابزارهای کمکی، فرآیند بازبینی، مسئولیت انسانی و شواهد کنترل کیفیت.","Documentation & Knowledge Base","Documentation & Knowledge Base","محمدامین پورمند","High","2","Final Sprint","Done","ethics,governance,human-review,status-done","صفحه حاکمیت با شواهد Git، Jira، آزمون و مالک انسانی همگام باشد.","متن حرفه‌ای، قابل ردیابی و فاقد عبارت‌های مکالمه‌ای در Notion و مخزن ثبت شود.","https://app.notion.com/p/38fd955c965a80c18b7ac3a8fd176cc3","project-management-final-package/notion-ai-usage-report.md"
"Story","ثبت Lessons Learned","انتقال درس‌آموخته‌های مدیریت پروژه.","Documentation & Knowledge Base","Documentation & Knowledge Base","محدثه حاتمی کیا","Medium","2","Final Sprint","Done","lessons,knowledge,status-done","حداقل ۶ درس‌آموخته ثبت شود.","در ارائه به آن اشاره شود.","https://app.notion.com/p/38fd955c965a80c18b7ac3a8fd176cc3","project-management-final-package/notion-lessons-learned.md"
"Epic","Final Deliverables","Deploy عمومی، QR، پوستر، بسته بازار، فایل‌های Word و تحویل نهایی.","Final Deliverables","","محمدامین پورمند","High","8","Final Sprint","In Progress","final,deploy,poster,status-in-progress","Epic شامل حداقل ۵ task/story با owner، evidence و DoD باشد.","همه taskهای ضروری انجام یا با وضعیت Needs Completion صادقانه ثبت شوند.","https://app.notion.com/p/3a1d955c965a81ecaa4aefc2cd3ac014","project-management-final-package/"
"Story","تست لینک عمومی اپ","باز کردن GitHub Pages روی موبایل و دسکتاپ.","Final Deliverables","Final Deliverables","محمدامین پورمند","Highest","2","Final Sprint","Done","deploy,public,status-done","URL بدون local server باز شود.","screenshot دسکتاپ و موبایل ذخیره شود.","https://app.notion.com/p/3a1d955c965a81ecaa4aefc2cd3ac014","https://aminhatesprogramming.github.io/emergency-triage-mvp/"
"Story","به‌روزرسانی QR Code","اطمینان از اینکه QR به لینک نهایی اشاره می‌کند.","Final Deliverables","Final Deliverables","محمدرضا آرمان‌پور","High","2","Final Sprint","In Progress","qr,poster,status-in-progress","QR با گوشی اسکن و ثبت شود.","در پوستر نهایی قرار گیرد.","https://app.notion.com/p/3a1d955c965a81ecaa4aefc2cd3ac014","docs/artifacts/emdadyar-pwa-qr.png"
"Story","آماده‌سازی پوستر نهایی","استفاده از poster-final-assets-fa و نمودارها.","Final Deliverables","Final Deliverables","محدثه حاتمی کیا","High","5","Final Sprint","Done","poster,a0,status-done","پوستر شامل Agile، KPI، Burndown، تیم و QR باشد.","خروجی A0 چاپی آماده شود.","https://app.notion.com/p/3a1d955c965a81ecaa4aefc2cd3ac014","poster-final-assets-fa.md; poster-assets/"
"Story","ساخت بسته ارسال استاد","لینک اپ، QR، فایل Word و راهنمای دسترسی.","Final Deliverables","Final Deliverables","محمدامین پورمند","High","3","Final Sprint","Done","handoff,package,status-done","فایل handoff برای ارزیابی و تست آماده باشد.","در deliverables قرار گیرد.","https://app.notion.com/p/3a1d955c965a81ecaa4aefc2cd3ac014","docs/deliverables/Emdadyar_Mobile_App_For_Professor.docx"
"Story","گرفتن screenshot واقعی Jira و Notion","شاهد نهایی استفاده از ابزارها.","Final Deliverables","Final Deliverables","محدثه حاتمی کیا","Highest","3","Final Sprint","In Progress","screenshot,evidence,status-in-progress","حداقل ۴ screenshot: Jira backlog، Sprint board، Notion home، Notion database.","در docs/evidence یا deliverables قرار گیرد.","https://app.notion.com/p/3a1d955c965a81ecaa4aefc2cd3ac014","نیاز به تکمیل دارد"
"Task","ممیزی نهایی لایه ایمنی سن‌محور","کنترل سناریوهای شدید و داده‌های پرت بدون دست‌کاری احتمال خام مدل.","Explainability & Safety","Explainability & Safety","محمدامین پورمند","Highest","5","Final Sprint","Done","release-audit,safety,owner-mohammadamin,status-done","قواعد بزرگسال، سالمند، کودک و شیرخوار همراه با دلیل فعال‌سازی پوشش داده شوند.","۱۰۷ تست مرزی و ۵۰۰۰ ترکیب بذرثابت عبور کنند و محدودیت بالینی ثبت شود.","https://app.notion.com/p/39fd955c965a81138eb8c41a1a8b734f","docs/model-release-scenario-audit-fa.md"
"Task","اعتبارسنجی held-out ورودی ناقص و هم‌ارزی مرورگر/API","انتخاب آستانه‌های ورودی ناقص فقط بر پایه داده نگه‌داشته‌شده و کنترل اختلاف نسخه‌ها.","Data & Model Logic","Data & Model Logic","محمدامین پورمند","Highest","5","Final Sprint","Done","heldout,ml,parity,sparse-input,owner-mohammadamin,status-done","گزارش ۱۱۱۶۰۶ رکورد test و آزمون هم‌ارزی مرورگر/API ثبت شود.","گزارش بازتولیدپذیر و صفر اختلاف تصمیمی ثبت شود.","https://app.notion.com/p/39fd955c965a815588c8e5c3ec67b505","reports/model/release_validation_v7.json"
"Task","بسته‌بندی و امضای Android Release آفلاین","تولید APK و AAB آفلاین با assetهای آزمون‌شده نسخه وب.","Final Deliverables","Final Deliverables","محمدامین پورمند","High","5","Final Sprint","Done","android,market,offline,release,owner-mohammadamin,status-done","APK/AAB امضاشده، hash و تطبیق assetها ثبت شوند.","بسته انتشار Android ساخته و یکپارچگی آرشیو تأیید شود.","https://app.notion.com/p/3a1d955c965a81ecaa4aefc2cd3ac014","docs/market/release/release-manifest.json"
"Task","نهایی‌سازی دانشنامه واقعی Notion و اتصال شواهد","انتقال دانش پروژه به صفحات و دیتابیس‌های واقعی و اتصال متقابل با Jira و GitHub.","Documentation & Knowledge Base","Documentation & Knowledge Base","محمدامین پورمند","High","5","Final Sprint","Done","documentation,knowledge-management,notion,owner-mohaddese,owner-mohammadamin,status-done","۸ صفحه، ۵ دیتابیس و ۷۳ رکورد با لینک و وضعیت واقعی بازخوانی شوند.","دانشنامه واقعی تکمیل و صفحات کلیدی برای تصویر نهایی آماده شوند.","https://app.notion.com/p/38fd955c965a80c18b7ac3a8fd176cc3","project-management-final-package/"
"Task","تست نصب APK روی دستگاه واقعی و آماده‌سازی ارسال به بازار","کاهش ریسک نصب و WebView پیش از انتشار عمومی در بازار یا مایکت.","Final Deliverables","Final Deliverables","محدثه حاتمی کیا","Highest","3","Final Sprint","Backlog","android,device-test,market-readiness,needs-real-device,owner-mohaddese,status-backlog","نصب روی Android 6+ و سناریوهای خالی، پرخطر، ناقص و آفلاین ثبت شوند.","شواهد دستگاه واقعی و checklist انتشار تکمیل شود.","https://app.notion.com/p/3a1d955c965a81ecaa4aefc2cd3ac014","docs/market/device-test-checklist-fa.md"
"Task","پیگیری پاسخ مراکز درمانی و طراحی پایلوت بالینی","تبدیل outreach اولیه به نتیجه مستند یا پایلوت رسمی، بدون ادعای همکاری پیش از تأیید.","Feedback & Validation","Feedback & Validation","محمدامین پورمند","Highest","5","Final Sprint","Backlog","clinical-pilot,hospital-outreach,open-risk,owner-mohammadamin,owner-mohammadreza,status-backlog","نتیجه پیگیری و در صورت موافقت پروتکل، حریم خصوصی و معیار توقف ثبت شوند.","پاسخ رسمی یا نتیجه عدم پاسخ مستند شود؛ اعتبارسنجی فقط پس از اجرای واقعی اعلام شود.","https://app.notion.com/p/4df3d90b10ea41ffb5ade21765e341ae","docs/stakeholder-outreach-log.md"
