Date,Change,Before,After,Reason,Impact,Owner,Related Jira Issue,Commit/File Evidence,Test Result,Status
2026-06-06,ساخت MVP اولیه شامل backend، frontend، ML scripts و docs پایه,پروژه هنوز artifact قابل اجرا در repo نداشت.,ساختار اولیه FastAPI، UI، training script و مستندات پایه اضافه شد.,شروع پروژه باید خروجی قابل ردیابی داشته باشد.,پایه فنی و مدیریتی پروژه شکل گرفت.,محمدامین پورمند,PD-01,commit e1962ae; backend/main.py; frontend/index.html; ml/train.py,نیاز به تست تکمیلی در sprintهای بعدی,Done
2026-06-08,بهبود نسخه میانی مدل v6 و اضافه شدن داشبورد Agile و مستندات rubric,مدل و مستندات برای ارزیابی فرایند و نتیجه کافی نبودند.,metrics نسخه میانی v6، model card، agile dashboard و team matrix اضافه شد.,نیاز به اثبات عملکرد مدل و مدیریت پروژه.,فرایند مدیریت پروژه در کنار خروجی فنی قابل مشاهده و ارزیابی شد.,محمدامین پورمند,ML-03,commit f7ca102; reports/model/metrics_v6.json; docs/agile-dashboard.md,Recall هدف در نسخه میانی v6 گزارش شد؛ نسخه عملیاتی نهایی پروژه v7 است.,Done
2026-06-10,ساخت deliverableهای Word رسمی,گزارش نهایی فقط در markdown/docs پراکنده بود.,فایل‌های Word گزارش، راهنمای ارائه و evidence package ساخته شد.,برای تحویل دانشگاهی، Word/PDF قابل دفاع‌تر از markdown خام است.,تحویل رسمی پروژه ساختارمند شد.,محدثه حاتمی کیا,DOC-01,commit fa36dfb; docs/deliverables/,فایل‌ها در repo موجود هستند.,Done
2026-06-10,تبدیل MVP به PWA موبایلی,UI بیشتر وب‌محور و local بود.,manifest، service worker، app icon و mobile UI اضافه شد.,TA و استاد روی محصول عملیاتی و قابل دسترس حساس بودند.,امکان نصب و demo روی گوشی فراهم شد.,محدثه حاتمی کیا,FE-04,commit 2cb3d68; frontend/manifest.webmanifest; frontend/sw.js,PWA assets موجود است؛ نصب واقعی باید روی گوشی تست شود.,Done
2026-06-13,اضافه شدن Agile evidence و Knowledge Base,پروژه از نگاه TA بیش از حد فنی دیده می‌شد.,Sprint notes، meeting notes، technical decisions، stakeholder feedback log و team playbook اضافه شد.,نیاز به نمایش کار تیمی، backlog و مدیریت دانش.,پاسخ مستقیم به نقد TA آماده شد.,محمدرضا آرمان‌پور,PM-01,commit 80e5f60; docs/knowledge-base/,اسناد در repo قابل مشاهده‌اند.,Done
2026-06-15,اضافه شدن feedback export و time tracking,مسیر ثبت feedback و time tracking شفاف نبود.,endpointهای feedback، time-tracking-log و work-management-board اضافه شد.,پروژه باید نشان دهد کار تیمی، زمان و بازخورد را مدیریت می‌کند.,شواهد PM قابل import/نمایش شد.,محمدرضا آرمان‌پور,FB-01,commit 8d17c0d; backend/main.py; docs/artifacts/time-tracking-log.csv,backend endpoint تعریف شده؛ feedback خارجی واقعی هنوز نیاز به جمع‌آوری دارد.,Done / Needs real feedback
2026-06-15,تولید assets پوستر و اسکرین‌شات‌های محصول,پوستر و evidence تصویری کافی نبود.,ROC، PR، confusion matrix، UI screenshots، burndown و user acquisition assets اضافه شد.,پوستر A0 و دفاع نهایی نیاز به تصویر و نمودار دارد.,بخش بصری پروژه قوی‌تر شد.,محدثه حاتمی کیا,FD-02,commit c03ea13; poster-assets/,PNG assets موجود است.,Done
2026-06-20,آماده‌سازی مدل v7 و deploy,نسخه میانی v6 آماده بود، اما برای نسخه عملیاتی نهایی به بهبود مدل و deploy عمومی نیاز داشت.,مدل v7، reports v7، Dockerfile، Procfile، render.yaml و evidence portal اضافه شد.,هدف افزایش کیفیت مدل و آماده‌سازی برای deploy واقعی بود.,AUC به 0.9041 و Recall به 0.9246 رسید.,محمدامین پورمند,ML-05,commit 5584b16; reports/model/metrics_v7.json; models/triage_model_v7.pkl,metrics v7 ثبت شد.,Done
2026-06-20,اضافه شدن public GitHub Pages PWA,کاربر برای اجرا به backend/local server نیاز داشت.,مدل به JSON مرورگر export شد و نسخه public/static آماده شد.,کاربر و استاد باید بدون local server اپ را باز کنند.,لینک عمومی محصول قابل ارسال شد.,محمدامین پورمند,DEP-01,commit a1ec91f; frontend/model-v7.json; .github/workflows/deploy-pages.yml,GitHub Pages در بررسی قبلی با status 200 کار کرد.,Done
2026-06-21,پولیش تجربه کاربری PWA,متن‌ها و نصب موبایل نیاز به اصلاح داشتند.,نام امداد یار، متن‌های ساده‌تر، config public API و UX نصب بهبود یافت.,کاربر نباید با اصطلاحات فنی یا متن‌های گزارش‌گونه روبه‌رو شود.,محصول کاربرپسندتر و آماده ارسال شد.,محدثه حاتمی کیا,UX-04,commit 70f7647; frontend/index.html; frontend/app.js,script check_public_pwa_cdp.js اضافه شد.,Done
2026-06-23,ساخت QR، Jira import CSV و GitHub knowledge CSV,انتقال به ابزارهای مدیریت پروژه و دانش دستی و پراکنده بود.,CSVهای import، QR و راهنمای mobile handoff اضافه شد.,استاد روی ابزارهای مدیریت پروژه مثل Jira و مدیریت دانش حساس است.,پروژه برای انتقال به Jira/Project/Notion آماده‌تر شد.,محمدرضا آرمان‌پور,PM-04,commit 45990bf; docs/artifacts/jira-import-issues.csv; docs/artifacts/github-project-knowledge-items.csv,CSVها موجود هستند؛ board واقعی باید ساخته شود.,Done / Needs import
2026-06-27,نهایی‌سازی UX امداد یار و بسته release,فرم feedback داخل محصول و برخی متن‌ها برای کاربر نهایی شلوغ بود.,UI نهایی‌تر شد، feedback synthetic برچسب‌گذاری شد و بسته بازار ساخته شد.,محصول باید برای کاربر عادی تمیز باشد و feedback جعلی به عنوان واقعی گزارش نشود.,نسخه نهایی user-facing آماده‌تر شد.,محدثه حاتمی کیا,FD-04,commit 43737c8; docs/deliverables/Emdadyar_Market_Release_Package.zip,screenshots بازار موجود است.,Done
2026-06-28,روتوش نهایی docs و evidence feedback,اسناد قدیمی/تکراری و وضعیت بازخورد پرستاران نیاز به شفافیت داشت.,docs قدیمی حذف شد، final index ساخته شد، ۹ بازخورد پرستار تریاژ در وضعیت pending confirmation ثبت شد.,نسخه نهایی نباید ادعای بازخورد واقعی بدون تأیید داشته باشد.,صداقت evidence و نظم تحویل بهتر شد.,محمدامین پورمند,DOC-08,commit cf9248e; docs/final-submission-index.md; docs/triage-nurse-feedback-confirmation.md,public PWA و assets اصلی در بررسی قبلی OK بودند.,Done
2026-07-12,تأیید بازخورد پرستاران، ساده‌سازی نهایی UI و ثبت پیگیری بیمارستان‌ها,۹ بازخورد پرستار در انتظار تأیید بود و بعضی برچسب‌های UI هنوز فنی بودند.,بازخوردها confirmed شد؛ «دلایل این پیشنهاد»، «احتمال برآوردشده» و «بیماری مزمن ریه (COPD)» اعمال و outreach بیمارستانی ثبت شد.,نسخه نهایی باید در شرایط فشار ساده، قابل فهم و متصل به ذی‌نفع واقعی باشد.,حلقه feedback-to-change قابل ردیابی شد و مسیر پایلوت بیمارستانی شکل گرفت.,محمدامین پورمند / محدثه حاتمی کیا / محمدرضا آرمان‌پور,FB-02; UX-07; STK-01,data/feedback/triage-nurse-feedback-confirmed.csv; frontend/index.html; docs/stakeholder-outreach-log.md,ساخت static PWA و QA مرورگر در تحویل نهایی اجرا می‌شود.,Done / hospital follow-up remains open
